"id","equipo_vhf_id","canal","tipo","created_at"
219,219,EMERG,Standby,2026-01-08 16:23:16.964
220,220,PMY 1,Main,2026-01-08 16:23:17.718
221,221,PMY 1,Standby,2026-01-08 16:23:18.634
222,222,PMY 2,Main,2026-01-08 16:23:19.453
223,223,PMY 2,Standby,2026-01-08 16:23:20.233
224,224,CPPL,Main,2026-01-08 16:23:21.291
225,225,CPPL,Standby,2026-01-08 16:23:22.289
226,226,CPPL,Main,2026-01-08 16:23:23.151
227,227,CPPL,Standby,2026-01-08 16:23:24.380
228,228,CAUX,Main,2026-01-08 16:23:25.205
229,229,CAUX,Standby,2026-01-08 16:23:26.007
230,230,CAUX,Main,2026-01-08 16:23:26.793
231,231,CAUX,Standby,2026-01-08 16:23:27.618
232,232,EMERG,Main,2026-01-08 16:23:28.700
233,233,EMERG,Standby,2026-01-08 16:23:29.596
234,234,ESQ 1,Main,2026-01-08 16:23:30.399
235,235,ESQ 1,Standby,2026-01-08 16:23:31.232
236,236,ESQ 1,Main,2026-01-08 16:23:32.052
237,237,ESQ 1,Standby,2026-01-08 16:23:32.825
238,238,ESQ 2,Main,2026-01-08 16:23:33.503
239,239,ESQ 2,Standby,2026-01-08 16:23:34.220
240,240,CPPL,Main,2026-01-08 16:23:35.431
241,241,CPPL,Standby,2026-01-08 16:23:36.262
242,242,CAUX,Main,2026-01-08 16:23:37.207
243,243,CAUX,Standby,2026-01-08 16:23:37.989
244,244,EMERG,Main,2026-01-08 16:23:39.014
245,245,EMERG,Standby,2026-01-08 16:23:39.846
246,246,ATIS,Main,2026-01-08 16:23:40.754
247,247,ATIS,Standby,2026-01-08 16:23:41.681
248,248,ECA 1,Main,2026-01-08 16:23:42.433
249,249,ECA 1,Standby,2026-01-08 16:23:43.318
250,250,ECA 2,Main,2026-01-08 16:23:44.140
251,251,ECA 2,Standby,2026-01-08 16:23:45.061
252,252,CPPL,Main,2026-01-08 16:23:46.012
253,253,CPPL,Standby,2026-01-08 16:23:46.898
254,254,CAUX,Main,2026-01-08 16:23:47.721
255,255,CAUX,Standby,2026-01-08 16:23:48.436
256,256,ATIS,Main,2026-01-08 16:23:49.353
257,257,ATIS,Standby,2026-01-08 16:23:50.174
258,258,CPPL,Main,2026-01-08 16:23:51.108
259,259,CPPL,Standby,2026-01-08 16:23:52.023
260,260,CAUX,Main,2026-01-08 16:23:52.942
261,261,CAUX,Standby,2026-01-08 16:23:53.870
262,262,EMERG,Main,2026-01-08 16:23:54.727
263,263,EMERG,Standby,2026-01-08 16:23:55.609
264,264,GAL 1,Main,2026-01-08 16:23:56.458
265,265,GAL 1,Standby,2026-01-08 16:23:57.247
266,266,GAL 2,Main,2026-01-08 16:23:58.064
267,267,GAL 2,Standby,2026-01-08 16:23:59.392
268,268,CPPL,Main,2026-01-08 16:24:00.621
269,269,CPPL,Standby,2026-01-08 16:24:01.353
270,270,CPPL,Main,2026-01-08 16:24:02.179
271,271,CPPL,Standby,2026-01-08 16:24:02.972
272,272,CAUX,Main,2026-01-08 16:24:03.897
273,273,CAUX,Standby,2026-01-08 16:24:04.719
274,274,CAUX,Main,2026-01-08 16:24:05.640
275,275,CAUX,Standby,2026-01-08 16:24:06.558
276,276,EMERG,Main,2026-01-08 16:24:07.466
277,277,EMERG,Standby,2026-01-08 16:24:08.299
278,278,GRA 1,Main,2026-01-08 16:24:09.237
279,279,GRA 1,Standby,2026-01-08 16:24:10.305
280,280,GRA 2,Main,2026-01-08 16:24:11.217
281,281,GRA 2,Standby,2026-01-08 16:24:12.100
282,282,CPPL,Main,2026-01-08 16:24:13.182
283,283,CPPL,Standby,2026-01-08 16:24:14.138
284,284,CAUX,Main,2026-01-08 16:24:15.071
285,285,CAUX,Standby,2026-01-08 16:24:15.966
286,286,EMERG,Main,2026-01-08 16:24:16.880
287,287,EMERG,Standby,2026-01-08 16:24:17.726
288,288,ATIS,Main,2026-01-08 16:24:18.640
289,289,ATIS,Standby,2026-01-08 16:24:19.414
290,290,EAVA NORTE,Main,2026-01-08 16:24:20.484
291,291,EAVA NORTE,Standby,2026-01-08 16:24:21.342
292,292,CPPL,Main,2026-01-08 16:24:22.431
293,293,CPPL,Standby,2026-01-08 16:24:23.457
294,294,CAUX,Main,2026-01-08 16:24:24.177
295,295,CAUX,Standby,2026-01-08 16:24:25.095
296,296,ATIS,Main,2026-01-08 16:24:25.927
297,297,ATIS,Standby,2026-01-08 16:24:26.741
298,298,CPPL,Main,2026-01-08 16:24:27.460
299,299,CPPL,Standby,2026-01-08 16:24:28.378
300,300,CAUX,Main,2026-01-08 16:24:29.201
301,301,CAUX,Standby,2026-01-08 16:24:30.113
302,302,EMERG,Main,2026-01-08 16:24:30.924
303,303,EMERG,Standby,2026-01-08 16:24:31.848
304,304,CPPL,Main,2026-01-08 16:24:33.116
305,305,CPPL,Standby,2026-01-08 16:24:34.207
306,306,CPPL,Main,2026-01-08 16:24:34.940
307,307,CPPL,Standby,2026-01-08 16:24:35.732
308,308,CAUX,Main,2026-01-08 16:24:36.672
309,309,CAUX,Standby,2026-01-08 16:24:37.489
310,310,CAUX,Main,2026-01-08 16:24:38.304
311,311,CAUX,Standby,2026-01-08 16:24:39.222
312,312,EMERG,Main,2026-01-08 16:24:39.971
313,313,EMERG,Standby,2026-01-08 16:24:40.869
