"id","vhf_id","tipo_equipo","marca","modelo","numero_serie","tecnologia","activo_fijo","estado","created_at"
289,28,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:24:19.153
290,29,Main,R&S,XU4200,S/N,IP,,OK,2026-01-08 16:24:20.181
291,29,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:24:21.008
292,30,Main,R&S,XU4200,S/N,Analógico,,OK,2026-01-08 16:24:22.152
293,30,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:24:23.154
294,30,Main,R&S,XU4200,S/N,Analógico,,OK,2026-01-08 16:24:23.904
295,30,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:24:24.801
296,30,Main,R&S,XU4200,S/N,Analógico,,OK,2026-01-08 16:24:25.710
297,30,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:24:26.536
298,30,Main,R&S,XU4200,S/N,Analógico,,OK,2026-01-08 16:24:27.250
299,30,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:24:27.911
300,30,Main,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:24:28.943
301,30,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:24:29.804
302,30,Main,R&S,XU4200,S/N,Analógico,,OK,2026-01-08 16:24:30.621
303,30,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:24:31.543
304,31,Main,R&S,EU200,S/N,Analógico,,OK,2026-01-08 16:24:32.779
305,31,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:24:33.904
306,31,Main,R&S,SU200,S/N,Analógico,,OK,2026-01-08 16:24:34.720
307,31,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:24:35.495
308,31,Main,R&S,EU200,S/N,Analógico,,OK,2026-01-08 16:24:36.356
309,31,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:24:37.194
310,31,Main,R&S,SU200,S/N,Analógico,,OK,2026-01-08 16:24:37.995
311,31,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:24:38.912
312,31,Main,ICOM ,ic,S/N,Analógico,,OK,2026-01-08 16:24:39.738
313,31,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:24:40.557
314,31,Main,R&S,XU4200,S/N,IP,,OK,2026-01-08 16:24:41.394
315,31,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:24:42.499
316,31,Main,R&S,XU4200,S/N,IP,,OK,2026-01-08 16:24:43.457
317,31,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:24:44.255
318,32,Main,R&S,XU4200,S/N,IP,,OK,2026-01-08 16:24:45.292
319,32,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:24:46.088
320,32,Main,R&S,XU4200,S/N,IP,,OK,2026-01-08 16:24:46.965
321,32,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:24:47.841
322,33,Main,R&S,XU4200,S/N,IP,,OK,2026-01-08 16:24:49.418
323,33,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:24:50.295
324,33,Main,R&S,XU4200,S/N,IP,,OK,2026-01-08 16:24:51.159
325,33,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:24:52.037
326,34,Main,R&S,XU4200,S/N,IP,,OK,2026-01-08 16:24:53.165
327,34,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:24:54.206
328,34,Main,R&S,XU4200,S/N,IP,,OK,2026-01-08 16:24:55.097
329,34,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:24:55.918
330,35,Main,R&S,XU251,TX 849611/042 RX 849925/025,Analógico,TX 16596 RX 16613,OK,2026-01-08 16:24:57.174
331,35,Standby,R&S,XU251,TX 849611/045 RX 849925/024,Analógico,TX 16597 RX 16614,OK,2026-01-08 16:24:58.131
332,35,Main,R&S,XU251,TX 849611/044 RX 849925/026,Analógico,TX 16594 RX 16611,OK,2026-01-08 16:24:58.890
333,35,Standby,R&S,XU251,TX 849611/043 RX 849925/027,Analógico,TX 16595 RX 16612,OK,2026-01-08 16:24:59.822
334,35,Main,R&S,XU251,TX 849611/055 RX 849925/028,Analógico,TX 16598 RX 16615,OK,2026-01-08 16:25:00.731
335,35,Standby,R&S,XU251,TX 849611/046 RX 849925/029,Analógico,TX 16599 RX 16616,OK,2026-01-08 16:25:01.564
336,35,Main,Philips,RZ590,TX 9551 325 90000 S 1273,Analógico,TX ----------------,OK,2026-01-08 16:25:02.483
337,35,Standby,Philips,RZ590,TX 3522 153 05700 S 1272,Analógico,TX ----------------,OK,2026-01-08 16:25:03.397
338,35,Main,R&S,XU251,TX 849611/048 RX 849502/029,Analógico,TX 16600 RX 16617,OK,2026-01-08 16:25:04.221
339,35,Standby,R&S,XU251,TX 849611/052 RX 849502/030,Analógico,TX 16601 RX 16618,OK,2026-01-08 16:25:05.563
340,35,Main,R&S,XU251,TX 849611/054 RX 849502/031,Analógico,TX 16578 RX 16605,OK,2026-01-08 16:25:06.275
341,35,Standby,R&S,XU251,TX 849611/053 RX 849502/032,Analógico,TX 16579 RX 16606,OK,2026-01-08 16:25:07.152
342,35,Main,R&S,XU251,TX 849611/041 RX 849925/031,Analógico,TX 16582 RX 16603,OK,2026-01-08 16:25:07.933
343,35,Standby,R&S,XU251,TX 849611/051 RX 849925/030,Analógico,TX 16577 RX 16604,OK,2026-01-08 16:25:08.825
344,35,Main,R&S,XU251,TX 849611/047 RX 849502/034,Analógico,TX 16576 RX 16609,OK,2026-01-08 16:25:09.646
345,35,Standby,R&S,XU251,TX 849611/056 RX 849502/033,Analógico,TX 16583 RX 16610,OK,2026-01-08 16:25:10.495
346,35,Main,R&S,XU251,TX 849611/050 RX 845979/115,Analógico,x,OK,2026-01-08 16:25:11.249
347,35,Standby,R&S,XU251,TX 849611/049 RX --------------,Analógico,TX 16581 RX 16608,OK,2026-01-08 16:25:12.301
349,35,Standby,R&S,XU4200,RTX 103104,IP,RTX 16235,OK,2026-01-08 16:25:14.042
